"id","location","date_test","sex","lp","age_group","age","doe_catalan","doe_spanish","doe_english","doe_others","test_language","list","version","filename"
"57839","Barcelona",2021-11-12,"f","Monolingual","30 months",29.3,1,0,0,0,"Catalan",1,"ll","CognatePriming_102_2021-11-12.csv"
"57709","Barcelona",2021-11-12,"m","Monolingual","25 months",25.1,0.16,0.84,0,0,"Spanish",2,"euro","CognatePriming_131_2021-11-12.csv"
"57336","Barcelona",2021-11-13,"m","Bilingual","30 months",29.166666666666668,0.68,0.32,0,0,"Catalan",2,"i","CognatePriming_103_2021-11-13.csv"
"57710","Barcelona",2021-11-13,"f","Monolingual","25 months",25.1,0.02,0.98,0,0,"Spanish",3,"euro","CognatePriming_132_2021-11-13.csv"
"57340","Barcelona",2021-11-13,"m","Monolingual","30 months",29.1,0.01,0.99,0,0,"Spanish",3,"euro","CognatePriming_104_2021-11-13_1.csv"
"57227","Barcelona",2021-11-13,"f","Monolingual","30 months",30,0.9500000000000001,0.04,0.02,0,"Catalan",1,"ll","CognatePriming_095_2021-11-13_1.csv"
"57337","Barcelona",2021-11-13,"f","Bilingual","30 months",29.1,0.77,0.23,0,0,"Catalan",2,"ll","CognatePriming_098_2021-11-13.csv"
"57642","Barcelona",2021-11-16,"m","Bilingual","25 months",25.93548387096774,0.42,0.54,0,0,"Spanish",1,"euro","CognatePriming_117_2021-11-16.csv"
"57240","Barcelona",2021-11-20,"m","Monolingual","30 months",30.2,0.99,0.01,0,0,"Catalan",2,"ll","CognatePriming_101_2021-11-20.csv"
"57293","Barcelona",2021-11-27,"m","Bilingual","30 months",29.93548387096774,0.5700000000000001,0.43,0,0,"Catalan",2,"ll","CognatePriming_105_2021-11-27.csv"
"57735","Barcelona",2021-12-01,"f","Monolingual","25 months",25.5,0.84,0.16,0,0,"Catalan",3,"ll","CognatePriming_135_2021-12-01.csv"
"57885","Barcelona",2021-12-03,"m","Bilingual","25 months",23.666666666666668,0.45,0.55,0,0,"Catalan",2,"ll","CognatePriming_136_2021-12-03.csv"
"57097","Barcelona",2021-12-03,"f","Monolingual","30 months",31.966666666666665,0,0.99,0.01,0,"Spanish",3,"euro","CognatePriming_082_2021-12-03_1.csv"
"57725","Barcelona",2021-12-04,"m","Bilingual","25 months",25.633333333333333,0.74,0.26,0,0,"Catalan",2,"ll","CognatePriming_137_2021-12-04_1.csv"
"57369","Barcelona",2021-12-11,"f","Bilingual","30 months",29.8,0.61,0.39,0,0,"Catalan",1,"ll","CognatePriming_138_2021-12-11.csv"
"57741","Barcelona",2021-12-11,"f","Monolingual","25 months",25.7,1,0,0,0,"Catalan",3,"ll","CognatePriming_140_2021-12-11_2.csv"
"57823","Barcelona",2021-12-18,"m","Bilingual","25 months",25.032258064516128,0.21,0.79,0,0,"Catalan",2,"ll","CognatePriming_141_2021-12-18.csv"
"58190","Barcelona",2021-12-21,"m","Bilingual","21 months",21.387096774193548,0.54,0.43,0.03,0,"Spanish",1,"euro","CognatePriming_142_2021-12-21.csv"
"57902","Barcelona",2022-01-04,"m","Bilingual","25 months",24.580645161290324,0.54,0.46,0,0,"Spanish",2,"euro","CognatePriming_143_2022-01-04.csv"
"58372","Barcelona",2022-01-07,"m","Bilingual","25 months",24.483870967741936,0.64,0.34,0.02,0,"Catalan",3,"ll","CognatePriming_144_2022-01-07.csv"
"58310","Barcelona",2022-01-12,"m","Bilingual","21 months",22.096774193548388,0.74,0.26,0,0,"Catalan",2,"ll","CognatePriming_145_2022-01-12_2.csv"
"57480","Barcelona",2022-01-22,"f","Bilingual","30 months",30.161290322580644,0.5700000000000001,0.43,0,0,"Catalan",2,"ll","CognatePriming_110_2022-01-22_1.csv"
"57613","Barcelona",2022-01-26,"m","Monolingual","30 months",28.29032258064516,1,0,0,0,"Catalan",3,"ll","CognatePriming_119_2022-01-26.csv"
"57464","Barcelona",2022-01-26,"f","Bilingual","30 months",30.516129032258064,0.45,0.55,0,0,"Spanish",2,"euro","CognatePriming_108_2022-01-26_1.csv"
"57534","Barcelona",2022-01-26,"f","Monolingual","30 months",29.741935483870968,0.99,0.01,0,0,"Catalan",1,"ll","CognatePriming_113_2022-01-26.csv"
"57919","Barcelona",2022-01-27,"f","Monolingual","25 months",25.258064516129032,0.9,0.1,0,0,"Catalan",3,"ll","CognatePriming_146_2022-01-27.csv"
"57908","Barcelona",2022-01-28,"f","Monolingual","25 months",25.35483870967742,0.86,0.14,0,0,"Catalan",2,"ll","CognatePriming_147_2022-01-28.csv"
"57559","Barcelona",2022-01-29,"m","Monolingual","30 months",29.161290322580644,0.18,0.8200000000000001,0,0,"Spanish",2,"euro","CognatePriming_115_2022-01-29.csv"
"58406","Barcelona",2022-01-31,"m","Monolingual","21 months",20.64516129032258,0.16,0.84,0,0,"Spanish",3,"euro","CognatePriming_148_2022-01-31.csv"
"57462","Barcelona",2022-01-31,"m","Bilingual","25 months",30.677419354838708,0.7000000000000001,0.3,0,0,"Catalan",3,"ll","CognatePriming_109_2022-01-31.csv"
"58860","Barcelona",2022-02-03,"m","Bilingual","21 months",20.451612903225808,0.45,0.4,0,0.15,"Catalan",2,"ll","CognatePriming_149_2022-02-03.csv"
"58286","Barcelona",2022-02-04,"m","Bilingual","21 months",20.93548387096774,0.34,0.66,0,0,"Spanish",1,"euro","CognatePriming_150_2022-02-04.csv"
"58012","Barcelona",2022-02-04,"m","Monolingual","25 months",24.451612903225808,0.92,0.08,,0,"Catalan",2,"ll","CognatePriming_151_2022-02-04.csv"
"58551","Barcelona",2022-02-05,"m","Bilingual","21 months",20.64516129032258,0.68,0.32,0,0,"Spanish",3,"euro","CognatePriming_152_2022-02-05.csv"
"57943","Barcelona",2022-02-05,"f","Monolingual","25 months",25.516129032258064,0.08,0.92,0,0,"Spanish",1,"euro","CognatePriming_153_2022-02-05.csv"
"57914","Barcelona",2022-02-08,"f","Monolingual","25 months",25.70967741935484,0.87,0.13,0,0,"Catalan",2,"ll","CognatePriming_154_2022-02-08_1.csv"
"58000","Barcelona",2022-02-08,"f","Bilingual","25 months",24.774193548387096,0.59,0.41000000000000003,0,0,"Spanish",2,"euro","CognatePriming_155_2022-02-08.csv"
"58046","Barcelona",2022-02-09,"f","Bilingual","25 months",24.333333333333332,0.74,0.26,0,0,"Catalan",3,"ll","CognatePriming_156_2022-02-09_2.csv"
"58088","Barcelona",2022-02-10,"m","Monolingual","25 months",23.967741935483872,0.86,0.14,0,0,"Catalan",1,"ll","CognatePriming_157_2022-02-10.csv"
"58530","Barcelona",2022-02-12,"f","Bilingual","21 months",21.451612903225808,0.59,0.41000000000000003,0,0,"Catalan",2,"ll","CognatePriming_158_2022-02-12_1.csv"
"57709","Barcelona",2022-02-18,"m","Monolingual","30 months",28.321428571428573,0.17,0.8300000000000001,0,0,"Spanish",2,"euro","CognatePriming_131_2022-02-18.csv"
"57707","Barcelona",2022-02-18,"m","Bilingual","30 months",28.321428571428573,0.23,0.77,0,0,"Spanish",2,"latin","CognatePriming_124_2022-02-18.csv"
"57537","Barcelona",2022-02-18,"m","Monolingual","30 months",30.571428571428573,1,0,0,0,"Catalan",2,"ll","CognatePriming_112_2022-02-18.csv"
"57592","Barcelona",2022-02-18,"m","Bilingual","30 months",29.464285714285715,0.52,0.48,0,0,"Spanish",1,"euro","CognatePriming_134_2022-02-18.csv"
"57552","Barcelona",2022-02-19,"m","Monolingual","30 months",30,1,0,0,0,"Catalan",3,"ll","CognatePriming_118_2022-02-19_2.csv"
"58049","Barcelona",2022-02-19,"f","Monolingual","30 months",29.142857142857142,1,0,0,0,"Catalan",3,"ll","CognatePriming_129_2022-02-19.csv"
"57666","Barcelona",2022-02-21,"f","Monolingual","30 months",28.838709677419356,1,0,0,0,"Catalan",3,"ll","CognatePriming_121_2022-02-21.csv"
"58328","Barcelona",2022-02-21,"f","Monolingual","30 months",32.285714285714285,1,0,0,0,"Catalan",1,"ll","CognatePriming_107_2022-02-21.csv"
"58262","Barcelona",2022-02-23,"m","Bilingual","21 months",21.214285714285715,0.65,0.35000000000000003,0,0,"Catalan",2,"ll","CognatePriming_159_2022-02-23.csv"
"58681","Barcelona",2022-02-28,"m","Bilingual","21 months",21.321428571428573,0.63,0.37,0,0,"Catalan",1,"ll","CognatePriming_160_2022-02-28.csv"
"58304","Barcelona",2022-03-01,"m","Bilingual","21 months",24.75,0.41000000000000003,0.59,0,0,"Spanish",3,"euro","CognatePriming_161_2022-03-01_2.csv"
"58550","Barcelona",2022-03-03,"m","Bilingual","25 months",25.392857142857142,0.42,0.45,0,0.13,"Catalan",3,"ll","CognatePriming_162_2022-03-03.csv"
"58096","Barcelona",2022-03-03,"m","Bilingual","25 months",24.678571428571427,0.4,0.6,0,0,"Spanish",1,"euro","CognatePriming_163_2022-03-03.csv"
"58435","Barcelona",2022-03-07,"m","Monolingual","21 months",20.821428571428573,0.8,0.2,0,0,"Catalan",2,"ll","CognatePriming_164_2022-03-07_1.csv"
"58173","Barcelona",2022-03-08,"m","Bilingual","21 months",20.821428571428573,0.33,0.63,0,0,"Spanish",3,"euro","CognatePriming_165_2022-03-08.csv"
"58394","Barcelona",2022-03-08,"f","Bilingual","21 months",25.678571428571427,0.6,0.4,0,0,"Catalan",1,"ll","CognatePriming_166_2022-03-08.csv"
"58335","Barcelona",2022-03-09,"m","Bilingual","21 months",20.193548387096776,0.7000000000000001,0.24,0,0,"Catalan",1,"ll","CognatePriming_167_2022-03-09.csv"
"57983","Barcelona",2022-03-09,"f","Bilingual","25 months",25.821428571428573,0.27,0.73,0,0,"Spanish",2,"euro","CognatePriming_168_2022-03-09_1.csv"
"58172","Barcelona",2022-03-10,"m","Bilingual","25 months",24.258064516129032,0.3,0.7000000000000001,0,0,"Catalan",3,"ll","CognatePriming_169_2022-03-10.csv"
"58079","Barcelona",2022-03-11,"f","Bilingual","25 months",25.161290322580644,0.3,0.53,0.14,0,"Spanish",2,"euro","CognatePriming_170_2022-03-11_1.csv"
"57642","Barcelona",2022-03-11,"m","Bilingual","30 months",29.75,0.48,0.52,0,0,"Spanish",1,"euro","CognatePriming_117_2022-03-11_1.csv"
"58132","Barcelona",2022-03-14,"f","Monolingual","25 months",24.642857142857142,0.19,0.81,0,0,"Catalan",2,"ll","CognatePriming_171_2022-03-14.csv"
"58310","Barcelona",2022-03-14,"m","Bilingual","25 months",24.161290322580644,0.74,0.26,0,0,"Catalan",2,"ll","CognatePriming_145_2022-03-14.csv"
"58128","Barcelona",2022-03-15,"f","Monolingual","25 months",25.06451612903226,0.8300000000000001,0.17,0,0,"Spanish",3,"euro","CognatePriming_172_2022-03-15.csv"
"58093","Barcelona",2022-03-18,"f","Monolingual","25 months",25.29032258064516,1,0,0,0,"Catalan",2,"ll","CognatePriming_173_2022-03-18_1.csv"
"58176","Barcelona",2022-03-19,"m","Bilingual","25 months",24.483870967741936,0.5700000000000001,0.43,0,0,"Catalan",1,"ll","CognatePriming_174_2022-03-19.csv"
"58165","Barcelona",2022-03-22,"m","Bilingual","25 months",24.64516129032258,0.7000000000000001,0.3,0,0,"Catalan",3,"ll","CognatePriming_175_2022-03-22.csv"
"58068","Barcelona",2022-03-22,"f","Monolingual","25 months",25.612903225806452,0.96,0.04,0,0,"Spanish",2,"euro","CognatePriming_176_2022-03-22.csv"
"58137","Barcelona",2022-03-23,"m","Bilingual","25 months",24.964285714285715,0.48,0.52,0,0,"Catalan",2,"ll","CognatePriming_177_2022-03-23.csv"
"58720","Barcelona",2022-03-23,"f","Bilingual","25 months",24.129032258064516,0.73,0.27,0,0,"Catalan",1,"ll","CognatePriming_178_2022-03-23_1.csv"
"58523","Barcelona",2022-03-28,"m","Bilingual","21 months",20.193548387096776,0.38,0.62,0,0,"Spanish",3,"euro","CognatePriming_179_2022-03-28.csv"
"58190","Barcelona",2022-03-31,"m","Bilingual","25 months",24.70967741935484,0.54,0.43,0.03,0,"Catalan",2,"ll","CognatePriming_142_2022-03-31.csv"
"58109","Barcelona",2022-04-02,"f","Monolingual","25 months",25.580645161290324,0.19,0.81,0,0,"Spanish",2,"euro","CognatePriming_180_2022-04-02.csv"
"57566","Barcelona",2022-04-04,"f","Monolingual","30 months",31.322580645161292,0.17,0.8300000000000001,0,0,"Spanish",2,"euro","CognatePriming_114_2022-04-04.csv"
"58299","Barcelona",2022-05-17,"f","Monolingual","21 months",20,0.97,0.03,0,0,"Catalan",2,"ll","CognatePriming_182_2022-05-17.csv"
"57742","Barcelona",2022-05-18,"f","Bilingual","30 months",30.966666666666665,0.76,0.22,0,0.02,"Catalan",3,"ll","CognatePriming_128_2022-05-18.csv"
"58298","Barcelona",2022-05-20,"f","Monolingual","25 months",24.766666666666666,0.99,0.01,0,0,"Catalan",1,"ll","CognatePriming_183_2022-05-20.csv"
"58256","Barcelona",2022-05-20,"m","Bilingual","25 months",24.933333333333334,0.68,0.32,0,0,"Catalan",2,"ll","CognatePriming_184_2022-05-20.csv"
"57670","Barcelona",2022-05-23,"m","Monolingual","30 months",31.9,0.18,0.8200000000000001,0,0,"Spanish",2,"euro","CognatePriming_127_2022-05-23.csv"
"57914","Barcelona",2022-05-24,"f","Monolingual","30 months",29.225806451612904,0.87,0.13,0,0,"Catalan",2,"ll","CognatePriming_154_2022-05-24_1.csv"
"57902","Barcelona",2022-05-24,"f","Bilingual","30 months",29.225806451612904,0.54,0.46,0,0,"Catalan",2,"ll","CognatePriming_143_2022-05-24.csv"
"58724","Barcelona",2022-05-25,"f","Bilingual","21 months",21.161290322580644,0.72,0.28,0,0,"Spanish",3,"euro","CognatePriming_185_2022-05-25_1.csv"
"58262","Barcelona",2022-05-26,"m","Bilingual","25 months",24.29032258064516,0.64,0.36,0,0,"Catalan",2,"ll","CognatePriming_159_2022-05-26.csv"
"58000","Barcelona",2022-05-30,"f","Bilingual","30 months",28.483870967741936,0.71,0.29,0,0,"Spanish",2,"euro","CognatePriming_155_2022-05-30_3.csv"
"57725","Barcelona",2022-06-04,"m","Bilingual","30 months",31.64516129032258,0.72,0.28,0,0,"Catalan",2,"ll","CognatePriming_137_2022-06-04.csv"
"57885","Barcelona",2022-06-04,"m","Bilingual","30 months",29.70967741935484,0.46,0.54,0,0,"Catalan",2,"ll","CognatePriming_136_2022-06-04_2.csv"
"57919","Barcelona",2022-06-14,"f","Monolingual","30 months",29.838709677419356,0.88,0.12,0,0,"Catalan",3,"ll","CognatePriming_146_2022-06-14.csv"
"58547","Barcelona",2022-06-16,"f","Monolingual","30 months",24.548387096774192,0.92,0.08,0,0,"Catalan",2,"ll","CognatePriming_187_2022-06-16.csv"
"58308","Barcelona",2022-06-17,"f","Monolingual","21 months",20.3,0,1,0,0,"Spanish",3,"euro","CognatePriming_188_2022-06-17.csv"
"57908","Barcelona",2022-06-17,"f","Monolingual","30 months",30,0.86,0.14,0,0,"Catalan",2,"ll","CognatePriming_147_2022-06-17.csv"
"57943","Barcelona",2022-06-18,"f","Monolingual","30 months",29.93548387096774,0.08,0.92,0,0,"Spanish",1,"euro","CognatePriming_153_2022-06-18_1.csv"
"58361","Barcelona",2022-06-20,"f","Bilingual","25 months",24.333333333333332,0.29,0.71,0,0,"Catalan",1,"ll","CognatePriming_190_2022-06-20.csv"
"57805","Barcelona",2022-06-21,"f","Monolingual","30 months",31.3,0.13,0.87,0,0,"Spanish",2,"euro","CognatePriming_191_2022-06-21.csv"
"57788","Barcelona",2022-06-21,"m","Bilingual","30 months",31.6,0.52,0.48,0,0,"Catalan",3,"ll","CognatePriming_192_2022-06-21.csv"
"58329","Barcelona",2022-06-25,"f","Bilingual","21 months",20.666666666666668,0.55,0.45,0,0,"Catalan",3,"ll","CognatePriming_193_2022-06-25.csv"
"57815","Barcelona",2022-06-27,"f","Monolingual","30 months",31.433333333333334,0.8,0,0.2,0,"Catalan",2,"ll","CognatePriming_194_2022-06-27.csv"
"58761","Barcelona",2022-06-28,"m","Bilingual","21 months",20.533333333333335,0.38,0.62,0,0,"Spanish",3,"euro","CognatePriming_195_2022-06-28.csv"
"58333","Barcelona",2022-06-28,"m","Bilingual","21 months",20.733333333333334,0.52,0.48,0,0,"Catalan",1,"ll","CognatePriming_196_2022-06-28_2.csv"
"57983","Barcelona",2022-06-29,"f","Bilingual","30 months",29.5,0.27,0.73,0,0,"Spanish",2,"euro","CognatePriming_168_2022-06-29.csv"
"58124","Barcelona",2022-10-01,"f","Bilingual","30 months",19.366666666666667,0.56,0.44,0,0,"Catalan",1,"ll","CognatePriming_197_2022-10-01.csv"
"58265","Barcelona",2022-10-01,"m","Monolingual","30 months",29.033333333333335,0.85,0.15,0,0,"Catalan",2,"ll","CognatePriming_198_2022-10-01.csv"
"58420","Barcelona",2022-10-03,"f","Monolingual","30 months",31.266666666666666,1,0,0,0,"Catalan",3,"ll","CognatePriming_199_2022-10-03.csv"
"58088","Barcelona",2022-10-03,"m","Monolingual","30 months",31.733333333333334,0.86,0.14,0,0,"Catalan",1,"ll","CognatePriming_157_2022-10-03.csv"
